Semantic networks in artificial intelligence,"['Lehmann, Fritz [Editor]', 'Rodin, Ervin Y., 1932-']",English,1992,26391254,0080420125,9780080420127
Exploring educational administration : coherentist applications and critical debates,"['Evers, C. W.']",English,1996,34746027,0080427669,9780080427669
International encyclopedia of developmental and instructional psychology,"['Weinert, Franz E., 1930- [Editor; Other]', 'Corte, Erik de [Editor; Other]']",English,1996,34782612,0080429807,9780080429809
Advanced modeling for transit operations and service planning,"['Lam, William H. K. [Editor]', 'Bell, Michael G. H. [Editor]']",English,2007,51528628,0080442064,9780080442068
Current sources &amp; voltage references,"['Harrison, Linden T.']",en,2005,769047229,0080455557,9780080455556
TCP/IP embedded internet applications,"['Insam, Edward']",en,20uu,990051125,0080474551,9780080474557
Visual effects for film and television,[],en,2013,956645700,0080481639,9780080481630
Botnets : The Killer Web Applications.,"['Schiller, Craig A.,']",en,Feb. 2007,506925441,0080500234,9780080500232
Structural shielding design for medical X-ray imaging facilities.,['National Council on Radiation Protection and Measurements'],en,1997,984779135,0080507204,9780080507200
"Acoustic wave sensors : theory, design, and physico-chemical applications","['Ballantine, David Stephen [Other]']",en,1997,769045998,0080523331,9780080523330
Commercial satellite communication,"['Pascall, Stephan C.', 'Withers, D. J. [Author]']",English,1997,840346790,0080523463,9780080523460
"Encyclopedia of Nationalism, Two-Volume Set.","['Motyl, Alexander J. [Editor]']",en,2000,437182606,0080545246,9780080545240
"Computational fluid dynamics in fire Englishineering : theory, modelling and practice","['Yeoh, Guan HEnglish [Author; Editor]', 'Yuen, Kwok Kit [Author; Editor]']",en,2009,719870811,0080570038,9780080570037
Twort's water supply,"['Twort, A. C. 1920-', 'Johnson, K. Michael [Author]', 'Ratnayaka, Don D.', 'Brandt, Malcolm J. [Author]']",en,2009,769049583,0080940846,9780080940847
Atomic force microscopy in process Englishineering : introduction to AFM for improved processes and products,"['Bowen, W. Richard [Author]', 'Hilal, Nidal [Author]']",en,2009,858755870,0080949576,9780080949574
The safety relief valve handbook : design and use of process safety valves to ASME and international codes and standards,"['Hellemans, Marc']",en,2010,824521345,0080961185,9780080961187
Encylopedia [i.e. Encyclopedia] of ocean sciences : ocean currents,"['Thorpe, S. A.', 'Turekian, Karl K.', 'Steele, John H., 1926-2013']",en,2009,751576830,0080964869,9780080964867
"Materials : Englishineering, science, processing and design","['Ashby, M. F. [Author]', 'Shercliff, Hugh [Author]', 'Cebon, David [Author]']",English,2014,852806045,0080977731,9780080977737
Comprehensive inorganic chemistry II : from elements to applications,[],English,2013,850176182,008097774X,9780080977744
"Project management, planning and control : managing Englishineering, construction and manufacturing projects to PMI, APM and BSI standards","['Lester, Albert']",en,2014,984766878,0080983219,9780080983219
"The geological evolution of Australia &amp; New Zealand,","['Campbell, K. S. W. [Author; Contributor]', 'Crook, K. A. W. [Author; Contributor]', 'Brown, D. A. (David Alexander), 1916-2009']",English,1968,856659,0081031866,9780081031865
"The upper secondary school, a comparative survey,","['Spolton, Lewis']",English,1967,767909,0082033536,9780082033530
Africa in the wider world; the inter-relationship of area and comparative studies.,"['Crowder, Michael, 1934-1988 [Editor; Other]', 'Brokensha, David [Editor; Other]', 'Fourah Bay College.']",English,1967,414383,008203544X,9780082035442
"Histology : a color atlas of cytology, histology, and microscopic anatomy","['Hammersen, Frithjof']",English,1980,5310062,0086717421,9780086717429
The morphology of gymnosperms; the structure and evolution of primitive seed-plants,"['Sporne, K. R.']",English,1967,65409345,0090771524,9780090771523
The Domesday book of mammoth pike,"['Buller, Fred']",English,1979,5834594,0091361702,9780091361709
Famous Australians,"['Hetherington, Mollie [Associated name]', 'Portus, G. V. (Garnet Vere), 1883-']",English,1983,10800098,0091482801,9780091482800
The Leo Burnett book of advertising,"['Broadbent, Simon']",English,1984,12551396,0091559804,9780091559809
"A long patrol : an illustrated history of No. 1 Squadron RNZAF, 1930-1984","['Sanders, James, 1911-']",English,1986,35245532,0091636000,9780091636005
The kiss of death,"['Richards, Lou']",English,1989,22449694,0091695015,9780091695019
"Espionage, empire and the secret formula of the world's favourite drink","['Rose, Sarah']",English,2009,175283670,0091797063,9780091797065
The good guide to Britain 2000.,"['Aird, Alisdair']",English,1999,59383748,009187095X,9780091870959
"Slipknot : inside the sickness, behind the masks","['Arnopp, Jason']",English,2001,45899673,0091879337,9780091879334
The Hutchinson book of cat tales.,[],English,2004,59316290,0091893216,9780091893217
